la	ぁ
li	ぃ
lu	ぅ
le	ぇ
lo	ぉ
lya	ゃ
lyu	ゅ
lyo	ょ
0	0
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
?	？
!	！
"	"
#	#
$	$
%	%
&	&
'	'
(	(
)	)
*	*
+	+
,	、
-	ー
.	。
/	/
:	:
;	;
<	<
=	=
>	>
?	？
@	@
[	「
\	\
]	」
^	^
_	_
`	`
{	{
|	|
}	}
~	~
z<	‥
z~	〜
z>	…
z/	・
z(	（
z)	）
z[	『
z]	』
z{	【
z}	】
zh	←
zj	↓
zk	↑
zl	→
z;	゛
z:	゜

a	あ
i	い
u	う
e	え
o	お
ka	か
ki	き
ku	く
ke	け
ko	こ
kya	きゃ
kyi	きぃ
kyu	きゅ
kye	きぇ
kyo	きょ
ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご
gya	ぎゃ
gyi	ぎぃ
gyu	ぎゅ
gye	ぎぇ
gyo	ぎょ
sa	さ
si	し
su	す
se	せ
so	そ
sya	しゃ
syi	しぃ
syu	しゅ
sye	しぇ
syo	しょ
sha	しゃ
shi	しぃ
shu	しゅ
she	しぇ
sho	しょ
sga	しゃ
sgi	しぃ
sgu	しゅ
sge	しぇ
sgo	しょ
za	ざ
zi	じ
zu	ず
ze	ぜ
zo	ぞ
ja	じゃ
ji	じぃ
ju	じゅ
je	じぇ
jo	じょ
zya	じゃ
zyi	じぃ
zyu	じゅ
zye	じぇ
zyo	じょ
zga	じゃ
zgi	じぃ
zgu	じゅ
zge	じぇ
zgo	じょ
ta	た
ti	ち
tu	つ
te	て
to	と
tya	ちゃ
tyi	ちぃ
tyu	ちゅ
tye	ちぇ
tyo	ちょ
tha	てゃ
thi	てぃ
thu	てゅ
the	てぇ
tho	てょ
da	だ
di	ぢ
du	づ
de	で
do	ど
dya	ぢゃ
dyi	ぢぃ
dyu	ぢゅ
dye	ぢぇ
dyo	ぢょ
dha	でゃ
dhi	でぃ
dhu	でゅ
dhe	でぇ
dho	でょ
na	な
ni	に
nu	ぬ
ne	ね
no	の
nya	にゃ
nyi	にぃ
nyu	にゅ
nye	にぇ
nyo	にょ
ha	は
hi	ひ
hu	ふ
he	へ
ho	ほ
hya	ひゃ
hyi	ひぃ
hyu	ひゅ
hye	ひぇ
hyo	ひょ
hga	ひゃ
hgi	ひぃ
hgu	ひゅ
hge	ひぇ
hgo	ひょ
fa	ふぁ
fi	ふぃ
fu	ふ
fe	ふぇ
fo	ふぉ
fya	ふゃ
fyi	ふぃ
fyu	ふゅ
fye	ふぇ
fyo	ふょ
ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ
bya	びゃ
byi	びぃ
byu	びゅ
bye	びぇ
byo	びょ
bga	びゃ
bgi	びぃ
bgu	びゅ
bge	びぇ
bgo	びょ
pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ
pya	ぴゃ
pyi	ぴぃ
pyu	ぴゅ
pye	ぴぇ
pyo	ぴょ
pga	ぴゃ
pgi	ぴぃ
pgu	ぴゅ
pge	ぴぇ
pgo	ぴょ
ma	ま
mi	み
mu	む
me	め
mo	お
mya	みゃ
myi	みぃ
myu	みゅ
mye	みぇ
myo	みょ
ya	や
yi	い
yu	ゆ
ye	いぇ
yo	よ
ra	ら
ri	り
ru	る
re	れ
ro	ろ
rya	りゃ
ryi	りぃ
ryu	りゅ
rye	りぇ
ryo	りょ
wa	わ
wi	うぃ
wu	う
we	うぇ
wo	を
wha	うぁ
whi	うぃ
whu	う
whe	うぇ
who	うぉ
va	ゔぁ
vi	ゔぃ
vu	ゔ
ve	ゔぇ
vo	ゔぉ

c	ん
v	っ

kc	こう
kyc	きょう
gc	ごう
gyc	ぎょう
sc	そう
syc	しょう
shc	しょう
sgc	しょう
zc	ぞう
jc	じょう
zyc	じょう
zgc	じょう
tc	とう
tyc	ちょう
thc	てょう
dc	どう
dyc	ぢょう
dhc	でょう
nc	のう
nyc	にょう
hc	ほう
hyc	ひょう
hgc	ひょう
fc	ふぉう
fyc	ふょう
bc	ぼう
byc	びょう
bgc	びょう
pc	ぽう
pyc	ぴょう
pgc	ぴょう
mc	おう
myc	みょう
yc	よう
rc	ろう
ryc	りょう
wc	をう
whc	うぉう
vc	ゔぉう

k,	かい
ky,	きゃい
g,	がい
gy,	ぎゃい
s,	さい
sy,	しゃい
sh,	しゃい
sg,	しゃい
z,	ざい
j,	じゃい
zy,	じゃい
zg,	じゃい
t,	たい
ty,	ちゃい
th,	てゃい
d,	だい
dy,	ぢゃい
dh,	でゃい
n,	ない
ny,	にゃい
h,	はい
hy,	ひゃい
hg,	ひゃい
f,	ふぁい
fy,	ふゃい
b,	ばい
by,	びゃい
bg,	びゃい
p,	ぱい
py,	ぴゃい
pg,	ぴゃい
m,	まい
my,	みゃい
y,	やい
r,	らい
ry,	りゃい
w,	わい
wh,	うぁい
v,	ゔぁい

kv	けい
kyv	きぇい
gv	げい
gyv	ぎぇい
sv	せい
syv	しぇい
shv	しぇい
sgv	しぇい
zv	ぜい
jv	じぇい
zyv	じぇい
zgv	じぇい
tv	てい
tyv	ちぇい
thv	てぇい
dv	でい
dyv	ぢぇい
dhv	でぇい
nv	ねい
nyv	にぇい
hv	へい
hyv	ひぇい
hgv	ひぇい
fv	ふぇい
fyv	ふぇい
bv	べい
byv	びぇい
bgv	びぇい
pv	ぺい
pyv	ぴぇい
pgv	ぴぇい
mv	めい
